epoch,train_loss,train_acc,test_loss,test_acc
0,1.857,32.322,1.518,42.59
1,1.408,48.182,1.289,53.65
2,1.11,60.17,1.17,57.65
3,0.935,66.996,1.105,61.91
4,0.805,71.652,1.02,65.71
5,0.691,75.966,0.867,70.88
6,0.618,78.528,0.713,75.38
7,0.569,80.338,0.937,70.13
8,0.541,81.406,0.668,78.06
9,0.522,82.124,0.542,81.04
10,0.498,82.834,0.607,79.65
11,0.479,83.67,0.711,77.13
12,0.461,84.202,0.601,80.3
13,0.453,84.48,0.616,79.18
14,0.439,84.918,0.634,79.12
15,0.432,85.19,0.589,80.15
16,0.422,85.522,0.718,76.89
17,0.411,86.194,0.894,72.9
18,0.404,86.332,0.672,78.56
19,0.393,86.642,0.64,79.1
20,0.392,86.582,0.494,83.63
21,0.381,86.778,0.584,80.5
22,0.374,87.286,0.772,75.18
23,0.37,87.262,0.437,85.57
24,0.362,87.764,0.519,82.57
25,0.365,87.534,0.548,82.67
26,0.359,87.788,0.57,82.1
27,0.354,87.912,0.559,81.17
28,0.349,88.082,0.603,80.97
29,0.35,88.014,0.518,83.16
30,0.345,88.332,0.833,75.32
31,0.343,88.362,0.422,85.99
32,0.335,88.604,0.614,80.38
33,0.342,88.244,0.575,81.04
34,0.334,88.632,0.548,81.91
35,0.334,88.75,0.466,84.71
36,0.328,88.82,0.419,86.18
37,0.325,88.826,0.594,81.07
38,0.325,88.922,0.494,84.01
39,0.325,88.978,0.671,81.1
40,0.326,88.794,0.618,80.09
41,0.313,89.274,0.549,82.84
42,0.318,89.174,0.792,76.12
43,0.317,89.246,0.368,87.96
44,0.307,89.404,0.497,84.41
45,0.314,89.32,0.529,83.45
46,0.309,89.422,0.551,81.94
47,0.31,89.414,0.449,85.91
48,0.301,89.698,0.355,88.17
49,0.307,89.52,0.621,80.01
50,0.299,89.752,0.507,83.17
51,0.298,89.92,0.406,86.33
52,0.298,89.692,0.502,83.68
53,0.295,89.962,0.541,82.89
54,0.286,90.31,0.527,84.19
55,0.295,89.884,0.521,83.35
56,0.29,90.064,0.629,80.91
57,0.285,90.376,0.53,83.12
58,0.283,90.336,0.413,86.64
59,0.286,90.158,0.427,85.84
60,0.281,90.516,0.528,82.71
61,0.28,90.47,0.417,86.51
62,0.274,90.524,0.432,86.16
63,0.279,90.528,0.484,84.09
64,0.269,90.878,0.409,86.68
65,0.27,90.752,0.385,87.0
66,0.267,90.796,0.392,86.93
67,0.267,91.042,0.38,87.35
68,0.267,90.848,0.343,88.43
69,0.264,90.962,0.384,87.64
70,0.262,91.12,0.387,87.52
71,0.254,91.418,0.371,87.73
72,0.256,91.256,0.407,86.56
73,0.251,91.514,0.38,87.4
74,0.251,91.366,0.39,87.93
75,0.253,91.458,0.352,88.23
76,0.246,91.61,0.404,86.57
77,0.24,91.828,0.449,85.38
78,0.243,91.68,0.53,83.21
79,0.24,91.784,0.37,87.49
80,0.233,92.12,0.375,87.72
81,0.235,91.954,0.436,86.12
82,0.228,92.19,0.462,85.16
83,0.229,92.132,0.396,87.02
84,0.226,92.384,0.395,87.15
85,0.231,92.06,0.411,86.9
86,0.224,92.364,0.33,89.31
87,0.221,92.424,0.38,88.01
88,0.215,92.562,0.378,87.57
89,0.216,92.542,0.392,87.32
90,0.212,92.796,0.316,89.58
91,0.209,92.854,0.513,83.69
92,0.209,92.732,0.388,87.38
93,0.21,92.694,0.369,88.26
94,0.203,92.998,0.453,85.89
95,0.208,92.908,0.319,89.6
96,0.194,93.302,0.373,87.74
