epoch,train_loss,train_acc,test_loss,test_acc
0,2.105,24.872,1.707,37.21
1,1.593,40.698,1.486,45.56
2,1.381,49.164,1.392,48.92
3,1.186,57.586,1.047,62.98
4,1.017,64.324,1.063,64.49
5,0.902,68.048,1.09,64.67
6,0.812,71.472,0.866,70.59
7,0.732,74.344,0.734,74.63
8,0.691,76.272,0.846,70.55
9,0.657,77.126,0.721,76.0
10,0.622,78.348,0.704,77.04
11,0.606,79.124,0.661,78.0
12,0.579,80.306,0.621,79.08
13,0.574,80.166,0.714,76.64
14,0.553,81.006,0.785,75.29
15,0.546,81.202,0.71,75.08
16,0.531,81.9,0.639,78.92
17,0.516,82.122,0.641,78.39
18,0.514,82.278,0.696,78.35
19,0.503,82.592,0.604,80.94
20,0.5,82.786,0.501,82.9
21,0.495,82.992,0.589,80.31
22,0.485,83.214,0.596,79.63
23,0.482,83.566,0.663,79.14
24,0.475,83.718,0.61,80.04
25,0.47,83.894,0.56,81.74
26,0.469,83.922,0.5,83.56
27,0.46,84.05,0.531,82.55
28,0.458,84.282,0.601,80.27
29,0.452,84.446,0.529,82.29
30,0.45,84.322,0.58,81.07
31,0.449,84.604,0.504,83.77
32,0.449,84.612,0.577,81.38
33,0.435,85.204,0.472,84.04
34,0.438,84.936,0.465,84.63
35,0.431,85.108,0.465,84.93
36,0.432,85.026,0.444,85.0
37,0.423,85.382,0.456,84.6
38,0.42,85.594,0.432,85.54
39,0.422,85.482,0.547,82.04
40,0.42,85.49,0.49,84.49
41,0.423,85.592,0.483,84.17
42,0.414,85.786,0.486,83.77
43,0.415,85.642,0.501,83.65
44,0.406,85.966,0.429,85.52
45,0.409,86.058,0.47,84.26
46,0.403,86.232,0.479,84.26
47,0.406,86.074,0.503,83.82
48,0.401,86.308,0.494,84.18
49,0.4,86.33,0.427,85.84
50,0.393,86.552,0.491,83.73
51,0.393,86.5,0.494,83.43
52,0.39,86.702,0.664,78.96
53,0.39,86.59,0.461,84.08
54,0.382,86.93,0.441,85.43
55,0.384,86.886,0.436,85.12
56,0.385,86.782,0.405,86.22
57,0.381,86.934,0.442,85.43
58,0.38,87.074,0.422,85.66
59,0.377,86.95,0.393,87.15
60,0.372,87.374,0.413,86.5
61,0.372,87.308,0.419,86.08
62,0.371,87.274,0.498,83.41
63,0.368,87.372,0.574,81.01
64,0.368,87.318,0.417,86.4
65,0.357,87.768,0.423,85.52
66,0.359,87.546,0.37,87.41
67,0.356,87.758,0.499,83.42
68,0.356,87.858,0.568,81.6
69,0.351,87.956,0.37,87.83
70,0.348,88.094,0.426,85.72
71,0.347,88.006,0.431,86.21
72,0.34,88.29,0.422,86.48
73,0.347,88.152,0.375,87.58
74,0.341,88.222,0.373,87.52
75,0.345,88.172,0.505,83.16
76,0.339,88.386,0.394,86.77
77,0.331,88.796,0.357,88.33
78,0.327,88.716,0.417,86.92
